Name,tissue,Accession,Age
SRR923702,0-2hr_Embryos,SRX316559,0
SRR923826,2-4hr_Embryos,SRX316560,2
SRR923837,4-8hr_Embryos,SRX316561,4
SRR923853,8-12hr_Embryos,SRX316562,8
SRR923704,12-16hr_Embryos,SRX316563,12
SRR923824,16-20hr_Embryos,SRX316564,16
SRR923827,20-24hr_Embryos,SRX316565,20
SRR923828,24-28hr_Embryos,SRX316566,24
SRR923831,28-32hr_Embryos,SRX316567,28
SRR923833,32-36hr_Embryos,SRX316568,32
SRR923834,36-40hr_Embryos,SRX316569,36
SRR923838,40-44hr_Embryos,SRX316570,40
SRR923839,44-48hr_Embryos,SRX316571,44
SRR923840,48-52hr_Embryos,SRX316572,48
SRR923844,52-56hr_Embryos,SRX316573,52
SRR923845,56-60hr_Embryos,SRX316574,56
SRR923846,60-64hr_Embryos,SRX316575,60
SRR923849,64-68hr_Embryos,SRX316576,64
SRR923850,68-72hr_Embryos,SRX316577,68
SRR923851,72-76hr_Embryos,SRX316578,72
SRR923852, ovary_bf_72h, NA, ovary
